trial,session,picture_type,picture_label,sprang_form,repetition,total_repetition,audio_file,jitter_ms
246,5,4,deprimir,deprimiondo,1,21,Sub6003_246_deprimir.wav,5232
247,5,2,comenzas,camenziando,1,21,Sub6003_247_comenzas.wav,5091
248,5,12,sentis,sontiondo,1,21,Sub6003_248_sentis.wav,5071
249,5,1,avanzar,avanziando,1,21,Sub6003_249_avanzar.wav,5357
250,5,5,dominas,damitiando,1,21,Sub6003_250_dominas.wav,5592
251,5,3,definis,dofiniondo,1,21,Sub6003_251_definis.wav,4977
252,5,8,lavar,laviando,1,21,Sub6003_252_lavar.wav,4316
253,5,11,recibis,rocibiondo,2,22,Sub6003_253_recibis.wav,5025
254,5,1,avanzar,avanziando,2,22,Sub6003_254_avanzar.wav,4581
255,5,2,comenzas,camenziando,2,22,Sub6003_255_comenzas.wav,6379
256,5,4,deprimir,deprimiondo,2,22,Sub6003_256_deprimir.wav,5071
257,5,8,lavar,laviando,2,22,Sub6003_257_lavar.wav,4689
258,5,3,definis,dofiniondo,2,22,Sub6003_258_definis.wav,3946
259,5,6,gustar,gustiando,2,22,Sub6003_259_gustar.wav,4950
260,5,5,dominas,damitiando,2,22,Sub6003_260_dominas.wav,5547
261,5,9,montas,mantiando,2,22,Sub6003_261_montas.wav,5514
262,5,7,impedir,impediondo,2,22,Sub6003_262_impedir.wav,4683
263,5,12,sentis,sontiondo,2,22,Sub6003_263_sentis.wav,3669
264,5,10,partir,partiondo,2,22,Sub6003_264_partir.wav,4572
265,5,8,lavar,laviando,3,23,Sub6003_265_lavar.wav,4629
266,5,2,comenzas,camenziando,3,23,Sub6003_266_comenzas.wav,7184
267,5,1,avanzar,avanziando,3,23,Sub6003_267_avanzar.wav,3715
268,5,7,impedir,impediondo,3,23,Sub6003_268_impedir.wav,3520
269,5,3,definis,dofiniondo,3,23,Sub6003_269_definis.wav,3830
270,5,5,dominas,damitiando,3,23,Sub6003_270_dominas.wav,5644
271,5,12,sentis,sontiondo,3,23,Sub6003_271_sentis.wav,3103
272,5,9,montas,mantiando,3,23,Sub6003_272_montas.wav,5272
273,5,6,gustar,gustiando,3,23,Sub6003_273_gustar.wav,4024
274,5,11,recibis,rocibiondo,3,23,Sub6003_274_recibis.wav,4561
275,5,4,deprimir,deprimiondo,3,23,Sub6003_275_deprimir.wav,4042
276,5,10,partir,partiondo,3,23,Sub6003_276_partir.wav,3907
277,5,1,avanzar,avanziando,4,24,Sub6003_277_avanzar.wav,4890
278,5,3,definis,dofiniondo,4,24,Sub6003_278_definis.wav,4433
279,5,4,deprimir,deprimiondo,4,24,Sub6003_279_deprimir.wav,5068
280,5,8,lavar,laviando,4,24,Sub6003_280_lavar.wav,4145
281,5,7,impedir,impediondo,4,24,Sub6003_281_impedir.wav,6124
282,5,2,comenzas,camenziando,4,24,Sub6003_282_comenzas.wav,5198
283,5,9,montas,mantiando,4,24,Sub6003_283_montas.wav,4796
284,5,5,dominas,damitiando,4,24,Sub6003_284_dominas.wav,7062
285,5,11,recibis,rocibiondo,4,24,Sub6003_285_recibis.wav,6527
286,5,6,gustar,gustiando,4,24,Sub6003_286_gustar.wav,6467
287,5,12,sentis,sontiondo,4,24,Sub6003_287_sentis.wav,4522
288,5,10,partir,partiondo,4,24,Sub6003_288_partir.wav,5263
289,5,9,montas,mantiando,5,25,Sub6003_289_montas.wav,5740
290,5,11,recibis,rocibiondo,5,25,Sub6003_290_recibis.wav,5433
291,5,4,deprimir,deprimiondo,5,25,Sub6003_291_deprimir.wav,5009
292,5,12,sentis,sontiondo,5,25,Sub6003_292_sentis.wav,6566
293,5,8,lavar,laviando,5,25,Sub6003_293_lavar.wav,5257
294,5,7,impedir,impediondo,5,25,Sub6003_294_impedir.wav,5477
295,5,6,gustar,gustiando,5,25,Sub6003_295_gustar.wav,4180
296,5,3,definis,dofiniondo,5,25,Sub6003_296_definis.wav,4810
297,5,10,partir,partiondo,5,25,Sub6003_297_partir.wav,6883
298,5,2,comenzas,camenziando,5,25,Sub6003_298_comenzas.wav,5763
299,5,1,avanzar,avanziando,5,25,Sub6003_299_avanzar.wav,5854
300,5,5,dominas,damitiando,5,25,Sub6003_300_dominas.wav,4101
